Species name;sp;P;RR;Kg1;Category;Order;Guild;Threatend
Tapirus terrestris;Tapi.te;4.1%;1.22;160;Game;Mammal;He.Fr;Threat
Panthera onca;Pant.on;0.0%;1.26;80;Game;Mammal;Car;Threat
Puma concolor;Puma.co;0.0%;1.36;45;Game;Mammal;Car;NT
Tayassu pecari;Taya.pe;7.6%;1.58;32;Game;Mammal;He.Fr;Threat
Mazama americana;Maza.am;11.5%;1.42;30;Game;Mammal;He.Fr;NT
Priodontes maximus;Prio.ma;0.0%;1.8;30;Game;Mammal;On.In;Threat
Pecari tajacu;Dico.ta;16.6%;2.01;25;Game;Mammal;He.Fr;NT
Mazama nemorivaga;Maza.ne;6.2%;1.61;18;Game;Mammal;He.Fr;NT
Leopardus pardalis;Leop.pa;0.0%;1.58;15;Game;Mammal;Car;NT
Cuniculus paca;Cuni.pa;17.8%;1.95;9.5;Game;Mammal;He.Fr;NT
Puma yaguarundi;Puma.ja;0.0%;1.58;8;Game;Mammal;Car;Threat
Leopardus wiedii;Leop.wi;0.0%;1.58;6;Game;Mammal;Car;Threat
Nasua nasua;Nasu.na;0.1%;1.26;5.1;Game;Mammal;On.In;NT
Dasyprocta spp.;Dasypro;9.5%;3;4.5;Game;Mammal;He.Fr;NT
Nonspecific small cingulata;Dasypus;6.4%;1.91;6;Game;Mammal;On.In;NT
Hadrosciurus spadiceus;Hadr.sp;1.2%;3.5;1.2;Game;Mammal;He.Fr;NT
Myrmecophaga tridactyla;Myrm.tr;0.0%;1.7;30.5;Non-game;Mammal;On.In;Threat
Atelocynus microtis;Atel.mi;0.0%;1.15;7.75;Non-game;Mammal;On.In;Threat
Speothos venaticus;Speo.ve;0.0%;1.2;6;Non-game;Mammal;Car;Threat
Procyon cancrivorus;Proc.ca;0.0%;1.39;5.4;Non-game;Mammal;On.In;NT
Eira barbara;Eira.ba;0.0%;1.32;4.85;Non-game;Mammal;On.In;NT
Tamandua tetradactyla;Tama.te;0.0%;1.62;4.5;Non-game;Mammal;On.In;NT
Didelphis marsupialis;Dide.sp;0.0%;5;1.08;Non-game;Mammal;On.In;NT
Myoprocta spp.;Myop.sp;0.0%;3;0.75;Non-game;Mammal;He.Fr;NT
Mitu tuberosum;Mitu.tu;4.9%;1.46;3;Game;Bird;He.Fr;NT
Psophia leucoptera;Psop.sp;0.5%;1.3;1.2;Game;Bird;He.Fr;NT
Penelope jacquacu;Pene.ja;2.3%;1.49;1.28;Game;Bird;He.Fr;NT
Tinamus spp.;Tina.sp;6.6%;1.5;1.2;Game;Bird;He.Fr;NT
Crypturellus spp.;Cryp.sp;0.0%;1.9;0.42;Game;Bird;He.Fr;NT
All species;All.sp;0.0%;;180;Game;Mammal;;